# leverage-v1 commands.log (ts	argv	rc	elapsed_s)
# manual setup/measurement commands executed for the evidence package (all < 300 s):
2026-08-01T05:29:00+0800	["python3", "reports/leverage-v1/build-shared.py"]	rc=0	2.261s
2026-08-01T05:33:45+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.239s
2026-08-01T05:33:45+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:45+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.016s
2026-08-01T05:33:46+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.018s
2026-08-01T05:33:46+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.022s
2026-08-01T05:33:46+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.019s
2026-08-01T05:33:46+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.032s
2026-08-01T05:33:46+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.027s
2026-08-01T05:33:46+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.189s
2026-08-01T05:33:46+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:46+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:46+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:46+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.018s
2026-08-01T05:33:46+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.018s
2026-08-01T05:33:46+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.039s
2026-08-01T05:33:46+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.025s
2026-08-01T05:33:46+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.224s
2026-08-01T05:33:46+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.016s
2026-08-01T05:33:46+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.016s
2026-08-01T05:33:46+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:46+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.018s
2026-08-01T05:33:46+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:46+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.036s
2026-08-01T05:33:46+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.025s
2026-08-01T05:33:47+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.271s
2026-08-01T05:33:47+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.016s
2026-08-01T05:33:47+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.018s
2026-08-01T05:33:47+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.016s
2026-08-01T05:33:47+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.018s
2026-08-01T05:33:47+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:47+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.029s
2026-08-01T05:33:47+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.016s
2026-08-01T05:33:47+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.024s
2026-08-01T05:33:47+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.016s
2026-08-01T05:33:47+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:47+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:47+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:47+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.016s
2026-08-01T05:33:47+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.024s
2026-08-01T05:33:47+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.024s
2026-08-01T05:33:47+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.275s
2026-08-01T05:33:47+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:47+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:47+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:47+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:47+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:47+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.025s
2026-08-01T05:33:47+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.022s
2026-08-01T05:33:48+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.178s
2026-08-01T05:33:48+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.019s
2026-08-01T05:33:48+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:48+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:48+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.018s
2026-08-01T05:33:48+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:48+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.030s
2026-08-01T05:33:48+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.018s
2026-08-01T05:33:48+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.047s
2026-08-01T05:33:48+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.016s
2026-08-01T05:33:48+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.016s
2026-08-01T05:33:48+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:48+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.018s
2026-08-01T05:33:48+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.022s
2026-08-01T05:33:48+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.033s
2026-08-01T05:33:48+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.022s
2026-08-01T05:33:48+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.147s
2026-08-01T05:33:48+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.016s
2026-08-01T05:33:48+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:48+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.016s
2026-08-01T05:33:48+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:48+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:48+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.027s
2026-08-01T05:33:48+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.023s
2026-08-01T05:33:48+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.153s
2026-08-01T05:33:48+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:48+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:48+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:48+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.024s
2026-08-01T05:33:48+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.019s
2026-08-01T05:33:48+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.051s
2026-08-01T05:33:48+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.026s
2026-08-01T05:33:49+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.247s
2026-08-01T05:33:49+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.016s
2026-08-01T05:33:49+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:49+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.016s
2026-08-01T05:33:49+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.018s
2026-08-01T05:33:49+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:49+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.030s
2026-08-01T05:33:49+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.024s
2026-08-01T05:33:49+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.228s
2026-08-01T05:33:49+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:49+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.022s
